Cѓd Mun; Codigouf; Codigomunicipio; Estado; Nome; Capital (1=Sim;0=Nуo); Porte do Municэpio; Populaчуo 2016 (IBGE); Сrea da unidade territorial 2015 (kmВ) (IBGE Cidades); Densidade demogrсfica 2010 (hab/kmВ) (IBGE Cidades); PIB 2013 -  A preчos correntes (1000 R$) (IBGE) ; PIB per capita (R$) 2013 (IBGE); Эndice Firjan de Gestуo Fiscal (2015); Gastos saњde e educaчуo per capita; Эndice Fiscal 2016; Colocaчуo Nacional em Gastos e Finanчas Pњblicas; Colocaчуo Estadual em Gastos e Finanчas Pњblicas; "Municэpios com эndice 
(1=Sim; 0 Nуo)"; Status em Gastos e Finanчas; Variсvel do outlier; Terceirizaчуo serviчos bсsicos; Informatizaчуo; Articulaчуo institucional; Transparъncia; Planejamento Urbano; Servidores per capita; Comissionados ; Эndice Gestуo 2016; Colocaчуo Nacional em Qualidade da Gestуo; Colocaчуo Estadual em Qualidade da Gestуo; "Municэpios com эndice 
(1=Sim; 0 Nуo)2"; Status em Qualidade da Gestуo; Variсvel do outlier ; Qualidade habitacional; Atendimento mщdico; Vulnerabilidade; Educaчуo; IDHM; Mortalidade infantil; Эndice de Desempenho 2016; Colocaчуo Nacional em Desempenho; Colocaчуo Estadual em Desempenho; "Municэpios com эndice 
(1=Sim; 0 Nуo)3"; Status em Desempenho; Variсvel do outlier  ; IGM - 2016; Colocaчуo no IGM; Colocaчуo Estadual no IGM; "Municэpios com эndice 
(1=Sim; 0 Nуo)4"
4302105; 43; 2105; RS; BENTO GONCALVES; 0; Grande porte; 114.203; 274,07; 280,9; 4.737.042,85; 42.528,93; 0,504; 0,307; 0,406; 1580К; 258К; 1; Com dados; ; 0,872; 1,000; 0,835; 0,840; 0,806; 0,821; 0,996; 0,882; 4К; 2К; 1; Com dados; ; 0,984; 0,271; 0,932; 0,602; 0,800; 0,902; 0,749; 334К; 52К; 1; Com dados; ; 0,679; 32К; 5К; 1
3516853; 35; 16853; SP; GAVIAO PEIXOTO; 0; Pequeno porte 1; 4.714; 243,77; 18,1; 99.960,71; 21.566,50; 0,644; 0,783; 0,713; 19К; 5К; 1; Com dados; ; 0,499; 0,762; 0,000; 0,761; 0,240; 0,477; 0,994; 0,533; 2176К; 199К; 1; Com dados; ; 0,965; 0,671; 0,920; 0,762; 0,659; 0,748; 0,787; 87К; 47К; 1; Com dados; ; 0,678; 33К; 13К; 1
4308607; 43; 8607; RS; GARIBALDI; 0; Pequeno porte 2; 33.384; 168,14; 181,3; 1.458.893,15; 44.781,54; 0,700; 0,236; 0,468; 791К; 165К; 1; Com dados; ; 0,872; 1,000; 0,835; 0,711; 0,530; 0,832; 0,996; 0,825; 24К; 9К; 1; Com dados; ; 0,991; 0,096; 0,967; 0,638; 0,819; 0,932; 0,740; 423К; 65К; 1; Com dados; ; 0,678; 34К; 6К; 1
3507506; 35; 7506; SP; BOTUCATU; 0; Grande porte; 141.032; 1.482,64; 85,9; 3.789.753,72; 27.810,83; 0,724; 0,227; 0,475; 732К; 151К; 1; Com dados; ; 1,000; 0,534; 0,626; 0,870; 0,606; 0,836; 0,998; 0,781; 63К; 13К; 1; Com dados; ; 0,961; 0,201; 0,883; 0,769; 0,852; 0,937; 0,767; 180К; 84К; 1; Com dados; ; 0,675; 35К; 14К; 1
3125101; 31; 25101; MG; EXTREMA; 0; Pequeno porte 2; 33.729; 244,59; 116,9; 4.064.082,72; 128.232,82; 0,799; 0,426; 0,612; 125К; 6К; 1; Com dados; ; 0,643; 1,000; 0,000; 0,671; 0,486; 0,850; 0,994; 0,663; 536К; 34К; 1; Com dados; ; 0,929; 0,525; 0,867; 0,625; 0,690; 0,853; 0,748; 343К; 24К; 1; Com dados; ; 0,675; 36К; 1К; 1
4215695; 42; 15695; SC; SANTIAGO DO SUL; 0; Pequeno porte 1; 1.341; 73,84; 19,8; 40.734,39; 28.807,91; 0,585; 0,866; 0,725; 17К; 3К; 1; Com dados; ; 0,229; 0,762; 0,244; 1,000; 0,334; 0,468; 0,984; 0,574; 1532К; 204К; 1; Com dados; ; 0,965; 0,298; 0,933; 0,648; 0,680; 0,810; 0,722; 668К; 126К; 1; Com dados; ; 0,674; 37К; 8К; 1
4218509; 42; 18509; SC; TREZE TILIAS; 0; Pequeno porte 1; 7.392; 186,64; 34; 336.129,48; 48.538,55; 0,643; 0,412; 0,528; 392К; 49К; 1; Com dados; ; 0,229; 0,762; 1,000; 0,830; 0,598; 0,803; 0,990; 0,745; 151К; 31К; 1; Com dados; ; 0,988; 0,109; 0,880; 0,728; 0,840; 0,948; 0,749; 330К; 72К; 1; Com dados; ; 0,674; 38К; 9К; 1
3106200; 31; 6200; MG; BELO HORIZONTE; 1; Grande porte; 2.513.451; 331,4; 7.167,00; 81.426.708,27; 32.844,41; 0,556; 0,330; 0,443; 1062К; 58К; 1; Com dados; ; 1,000; 1,000; 0,208; 0,900; 0,717; 0,859; 0,998; 0,812; 31К; 1К; 1; Com dados; ; 0,967; 0,264; 0,897; 0,700; 0,876; 0,879; 0,764; 211К; 11К; 1; Com dados; ; 0,673; 39К; 2К; 1
4213203; 42; 13203; SC; POMERODE; 0; Pequeno porte 2; 31.760; 214,73; 129,3; 1.471.934,62; 49.049,77; 0,621; 0,327; 0,474; 742К; 107К; 1; Com dados; ; 0,251; 1,000; 0,508; 0,980; 1,000; 0,746; 0,996; 0,783; 60К; 14К; 1; Com dados; ; 0,970; 0,181; 0,947; 0,699; 0,804; 0,970; 0,762; 229К; 49К; 1; Com dados; ; 0,673; 40К; 10К; 1
3549805; 35; 49805; SP; SAO JOSE DO RIO PRETO; 0; Grande porte; 446.649; 431,94; 945,1; 13.259.377,15; 30.548,82; 0,806; 0,266; 0,536; 342К; 76К; 1; Com dados; ; 0,872; 0,534; 0,000; 0,930; 0,693; 0,892; 0,997; 0,703; 297К; 40К; 1; Com dados; ; 0,963; 0,274; 0,930; 0,796; 0,845; 0,862; 0,778; 115К; 61К; 1; Com dados; ; 0,672; 41К; 15К; 1
